model,smote,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,rank_score
logreg,False,0.9067,0.0357,0.8934,0.066,0.7945,0.0993,0.8584,0.0858,0.8181,0.0622,0.8789
random_forest,False,0.9015,0.035,0.9018,0.0409,0.7498,0.1352,0.8109,0.0595,0.7711,0.0827,0.8713
xgboost,False,0.8801,0.0316,0.8847,0.0335,0.7854,0.0946,0.8024,0.0719,0.7862,0.0413,0.863
svc,False,0.877,0.0349,0.8755,0.0493,0.7589,0.1286,0.8106,0.061,0.7735,0.0659,0.8528
lightgbm,False,0.8583,0.0275,0.8535,0.0326,0.749,0.0924,0.7891,0.0751,0.7602,0.0306,0.8345
