strategy,model,fit_seconds_mean,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std
class_weight,xgboost,32.022621,0.830063,0.001376,0.435384,0.007692,0.795136,0.003749,0.306488,0.004862,0.442417,0.005296
smote,xgboost,65.882835,0.823928,0.001701,0.424258,0.008241,0.289854,0.003159,0.501157,0.00998,0.367272,0.005089
