attribute,threshold,threshold_name,subgroup,n,n_positive,n_negative,prevalence,cm_tp,cm_fn,cm_tn,cm_fp,recall,recall_lo,recall_hi,specificity,specificity_lo,specificity_hi,precision,precision_lo,precision_hi,selection_rate,selection_rate_lo,selection_rate_hi,roc_auc,roc_auc_lo,roc_auc_hi,reliable,caveat
age_band,0.5,0.5,45-54,12,8,4,0.6667,8,0,4,0,1.0,0.6756,1.0,1.0,0.5101,1.0,1.0,0.6756,1.0,0.6667,0.3906,0.8619,1.0,1.0,1.0,False,only 12 rows (min 20); only 8 positives (min 10) — recall is not estimable; only 4 negatives (min 10) — specificity is not estimable
age_band,0.5,0.5,55-64,18,12,6,0.6667,12,0,6,0,1.0,0.7575,1.0,1.0,0.6097,1.0,1.0,0.7575,1.0,0.6667,0.4375,0.8372,1.0,1.0,1.0,False,only 18 rows (min 20); only 6 negatives (min 10) — specificity is not estimable
age_band,0.5,0.5,65+,25,22,3,0.88,22,0,3,0,1.0,0.8513,1.0,1.0,0.4385,1.0,1.0,0.8513,1.0,0.88,0.7004,0.9583,1.0,1.0,1.0,False,only 3 negatives (min 10) — specificity is not estimable
age_band,0.5,0.5,<45,24,7,17,0.2917,5,2,16,1,0.7143,0.3589,0.9178,0.9412,0.7302,0.9895,0.8333,0.4365,0.9699,0.25,0.12,0.449,0.9832,0.9138,1.0,False,only 7 positives (min 10) — recall is not estimable
age_band,0.5792,operating,45-54,12,8,4,0.6667,8,0,4,0,1.0,0.6756,1.0,1.0,0.5101,1.0,1.0,0.6756,1.0,0.6667,0.3906,0.8619,1.0,1.0,1.0,False,only 12 rows (min 20); only 8 positives (min 10) — recall is not estimable; only 4 negatives (min 10) — specificity is not estimable
age_band,0.5792,operating,55-64,18,12,6,0.6667,12,0,6,0,1.0,0.7575,1.0,1.0,0.6097,1.0,1.0,0.7575,1.0,0.6667,0.4375,0.8372,1.0,1.0,1.0,False,only 18 rows (min 20); only 6 negatives (min 10) — specificity is not estimable
age_band,0.5792,operating,65+,25,22,3,0.88,22,0,3,0,1.0,0.8513,1.0,1.0,0.4385,1.0,1.0,0.8513,1.0,0.88,0.7004,0.9583,1.0,1.0,1.0,False,only 3 negatives (min 10) — specificity is not estimable
age_band,0.5792,operating,<45,24,7,17,0.2917,5,2,17,0,0.7143,0.3589,0.9178,1.0,0.8157,1.0,1.0,0.5655,1.0,0.2083,0.0924,0.4047,0.9832,0.9138,1.0,False,only 7 positives (min 10) — recall is not estimable
